"";"GeoIso";"Citizen";"Decision";"Count";"latitude";"longitude";"name"
"218";"FI";"SY";"REJECTED";0;61,92411;25,748151;"Finland"
"219";"SE";"SY";"REJECTED";310;60,128161;18,643501;"Sweden"
"220";"UK";"SY";"REJECTED";50;55,378051;-3,435973;"United Kingdom"
"221";"IS";"SY";"REJECTED";0;64,963051;-19,020835;"Iceland"
"222";"LI";"SY";"REJECTED";0;47,166;9,555373;"Liechtenstein"
"223";"NO";"SY";"REJECTED";285;60,472024;8,468946;"Norway"
"224";"CH";"SY";"REJECTED";25;46,818188;8,227512;"Switzerland"
"225";"BE";"SY";"SUB_PROT";235;50,503887;4,469936;"Belgium"
"226";"BG";"SY";"SUB_PROT";200;42,733883;25,48583;"Bulgaria"
"227";"CZ";"SY";"SUB_PROT";25;49,817492;15,472962;"Czech Republic"
"228";"DK";"SY";"SUB_PROT";310;56,26392;9,501785;"Denmark"
"229";"DE";"SY";"SUB_PROT";46965;51,165691;10,451526;"Germany"
"230";"EE";"SY";"SUB_PROT";10;58,595272;25,013607;"Estonia"
"231";"IE";"SY";"SUB_PROT";0;53,41291;-8,24389;"Ireland"
"232";"EL";"SY";"SUB_PROT";0;39,074208;21,824312;"Greece"
"233";"ES";"SY";"SUB_PROT";580;40,463667;-3,74922;"Spain"
"234";"FR";"SY";"SUB_PROT";1205;46,227638;2,213749;"France"
"235";"HR";"SY";"SUB_PROT";5;45,1;15,2;"Croatia"
"236";"IT";"SY";"SUB_PROT";10;41,87194;12,56738;"Italy"
"237";"CY";"SY";"SUB_PROT";275;35,126413;33,429859;"Cyprus"
"238";"LV";"SY";"SUB_PROT";35;56,879635;24,603189;"Latvia"
"239";"LT";"SY";"SUB_PROT";0;55,169438;23,881275;"Lithuania"
"240";"LU";"SY";"SUB_PROT";0;49,815273;6,129583;"Luxembourg"
"241";"HU";"SY";"SUB_PROT";15;47,162494;19,503304;"Hungary"
"242";"MT";"SY";"SUB_PROT";35;35,937496;14,375416;"Malta"
"243";"NL";"SY";"SUB_PROT";500;52,132633;5,291266;"Netherlands"
"244";"AT";"SY";"SUB_PROT";460;47,516231;14,550072;"Austria"
"245";"PL";"SY";"SUB_PROT";0;51,919438;19,145136;"Poland"
"246";"PT";"SY";"SUB_PROT";15;39,399872;-8,224454;"Portugal"
"247";"RO";"SY";"SUB_PROT";60;45,943161;24,96676;"Romania"
"248";"SI";"SY";"SUB_PROT";5;46,151241;14,995463;"Slovenia"
"249";"SK";"SY";"SUB_PROT";0;48,669026;19,699024;"Slovakia"
"250";"FI";"SY";"SUB_PROT";80;61,92411;25,748151;"Finland"
"251";"SE";"SY";"SUB_PROT";19765;60,128161;18,643501;"Sweden"
"252";"UK";"SY";"SUB_PROT";0;55,378051;-3,435973;"United Kingdom"
"253";"IS";"SY";"SUB_PROT";5;64,963051;-19,020835;"Iceland"
"254";"LI";"SY";"SUB_PROT";0;47,166;9,555373;"Liechtenstein"
